label,anatomy,,,isomap,,,MDS,,,tsne,,,PLACE
10,150.72,153.15,74.566,10.43558443,10.76875091,46.76015359,11.61676041,57.49743235,-4.944146467,0,0,49.73420098,14
10,151.45,147.45,70.148,-0.039300226,-0.557728446,-47.70193588,15.96208592,-13.09527255,-11.3693004,0.461487172,0.002338415,45.66361572,2
10,142.31,157.63,73.415,-31.24780852,28.83553562,22.50854831,-1.677618707,-7.097018679,29.09643897,0.968592226,0.009816214,47.91748467,8
10,139.97,150.03,71.576,-26.59810677,-13.17979418,33.95545293,7.374068776,1.414387772,25.36913388,1.408323441,0.021409933,46.44276975,12
10,135.46,162.17,71.701,-2.783027621,-16.09456354,45.55261939,-3.036387654,-51.15491453,-12.94148389,2.00755552,0.04069539,49.64551346,6
10,130.56,155.88,69.944,21.17348854,-42.23405579,-11.12175535,1.527283085,-83.83560866,-5.009688342,2.472467382,0.062654417,48.90463151,16
10,126.95,167.94,67.033,39.6620906,8.933853548,26.62541216,8.074562251,9.816042276,26.26616751,2.761103649,0.083970353,45.5008339,3
10,123.22,161.91,66.501,-2.368568515,-16.6549324,-45.51203109,-11.73872283,-12.6531559,10.09824703,3.473901828,0.123269588,49.05545492,5
11,142.31,164.03,86.68,-2.912916384,-34.42192081,31.34267059,16.93070256,-16.75681136,4.881941519,3.857364302,0.156450444,47.64636486,12
11,186.98,156.58,74.413,26.88214057,36.67333526,19.44210297,0.066809731,-4.992814329,-21.97055023,4.437212136,0.202493972,48.70117135,14
11,180.91,158.67,80.094,0.099752807,0.157191229,-49.63407123,9.191294481,-12.98856109,14.18411677,4.564323665,0.231476298,45.06838944,10
11,172.76,159.39,85.472,32.67915219,-6.991027332,30.69402474,12.73786377,-53.02824889,1.262030255,5.306828904,0.296098375,47.6149211,14
11,174.28,152.8,76.848,12.86694749,-26.81668653,-36.82987807,-16.82747251,16.14959734,5.502654631,5.435592971,0.330919265,44.68404828,12
11,160.82,161.13,88.312,-23.93694934,3.993017992,38.93434706,-12.94943817,56.88220655,-8.60348168,6.069454172,0.400386995,46.03204639,3
11,163.64,155.45,82.654,2.315639541,-45.11057298,6.720045283,4.010458542,-20.7464771,14.62407791,7.015883762,0.49853766,49.38060655,15
12,180.21,165.25,70.244,-29.839011,37.98971955,-10.29660248,12.74597084,24.37587412,-24.52838511,7.439258727,0.56652168,48.83929017,5
12,173.78,161.55,66.354,37.91588829,-10.01820096,-26.81733899,-25.67325173,-21.02344925,-8.197129502,7.839601902,0.636979067,48.21859061,15
12,170,172.3,69.979,14.27617367,25.89423717,36.21399184,7.916707151,71.77535137,-6.259639404,7.976868801,0.688835622,46.14388005,13
12,166.85,167.64,72.371,-18.61338525,-40.62751168,8.025724108,0.295122845,-0.460829376,29.3688828,8.129677699,0.743550776,44.38149397,6
12,158.89,178.88,67.346,-17.92859603,-13.32413675,-44.47548632,1.116164535,-65.11414499,9.708009622,8.590040045,0.829567403,44.39085034,13
12,157.65,172.42,71.809,-10.38347849,7.189770102,46.25486156,-0.553591672,-59.49056286,14.00858863,9.113162535,0.926718052,44.70147947,3
12,150.19,178.93,66.044,-24.81834273,3.519657665,39.32699278,16.3114043,-62.94304284,11.31049963,9.429356381,1.007170554,44.01050845,8
12,144.54,177.28,68.19,-15.14667745,-10.57009717,-41.06128774,14.45102558,-36.29787944,-18.48148228,10.50877022,1.176351115,46.77496612,4
13,165.54,158.95,68.977,-9.054715264,-45.56909583,-7.640819422,-8.712409288,34.92638723,10.60973321,10.58747304,1.239512257,45.03176645,1
13,160.19,163.64,67.953,-22.43381627,16.16228649,40.84412231,-1.144875532,14.84868441,-21.03203229,11.67583625,1.426940178,47.54237785,13
13,154.74,166.96,66.46,4.576803003,-39.99020354,24.10725842,13.39653692,-71.83342165,-7.662927271,11.52632762,1.467982721,45.00740222,7
13,148.19,170,65.653,41.90347566,-24.28009349,0.312820668,-5.269322279,-79.90414338,5.444853926,12.38462531,1.64110831,46.44621894,12
17,142.39,178.68,47.681,9.365990336,-5.404205985,-46.37783582,14.80468314,42.23836307,-0.126968399,12.0659948,1.661141349,43.52380233,5
17,150.71,169.84,46.645,41.4334567,-16.72640347,-8.091404915,24.21536861,-38.19584882,-4.081875357,12.99727929,1.856506484,45.15304441,7
17,127.59,178.67,53.981,-44.85334372,10.17084843,-1.784173547,-4.785223746,20.58351488,-18.18138057,13.46061673,1.992337401,45.09236708,8
17,115.06,173.02,61.423,15.28131797,-4.978693238,44.93504817,4.324993911,6.70617983,19.02005767,13.31972203,2.040506362,43.07561408,2
18,160.42,174.22,47.62,-29.38856313,-1.489636869,-34.70979892,-3.590570906,68.32886924,8.532628146,14.91360343,2.362082733,46.60985387,2
18,158.26,167.05,52.029,-20.44972124,-4.491729357,-41.29487335,5.826810978,62.97528687,-17.87048783,15.56782601,2.546629389,47.06646796,7
26,177.86,152.4,66.383,-14.38973064,0.152453124,45.50977408,13.29203603,1.501089403,-9.210170164,14.5572759,2.457121,42.61414448,16
49,157.13,137.41,72.078,32.89236019,-1.71701542,-31.11748831,-2.704039268,19.81499177,18.19979191,16.01011003,2.78585268,45.41861554,15
49,158.83,130.08,76.253,10.51272712,-29.52306952,-34.02583086,1.204682757,48.60435728,13.25299504,15.801248,2.832073484,43.47597428,13
49,147.77,136.64,73.115,44.28208717,7.0524634,-16.07242733,-4.362076008,72.35157074,-8.324347239,17.46282983,3.221292391,46.6360601,8
49,150.66,127.78,75.598,5.149401429,26.50933234,-40.55487746,6.878670463,71.27777263,-0.471647018,16.99040728,3.223252037,44.07288488,3
49,138.73,133.66,71.427,-37.03857792,-23.5872554,20.87803209,-12.85771334,48.80127773,-2.865678879,17.52506431,3.416768119,44.18559354,7
49,143.78,126.92,72.688,-10.24466392,-29.90579662,32.62021027,6.861574343,25.9400008,-15.41732875,17.75824418,3.555725995,43.54622868,14
49,131.87,127.09,68.962,-3.1893169,-12.95112302,46.12534291,3.899678635,8.750780598,24.24242543,18.49964817,3.801774343,44.14727464,3
49,136.03,121.3,68.768,13.9923815,-37.2637596,-26.07801028,-3.382695221,-76.00231329,1.628676094,18.2094153,3.83839642,42.31285031,10
50,157.51,124.4,87.993,-23.72623971,12.43906238,-40.58991936,3.753318409,-80.54883342,-2.674935758,18.64602177,4.029214933,42.21149825,11
50,193.47,124.67,72.242,13.15132943,10.87453171,46.6914632,19.6173621,-47.16867388,5.948674715,18.77333139,4.156403194,41.42610336,12
50,189.42,121.03,78.203,-34.046861,-22.05127547,28.28562076,-5.522690745,24.23531627,-18.08326016,20.34475454,4.612579388,43.78057287,9
50,182.55,129.81,75.688,-42.94243529,9.695220036,16.14943839,-3.173319737,38.38363542,-17.06402024,19.89037014,4.61565061,41.76044972,9
50,182.41,123.66,82.14,-26.42426178,-41.05167478,0.429048827,2.459099108,-18.52076952,19.47139136,20.35375859,4.831998816,41.71065065,11
